PEDIGREE,Site,Yield,DY,PHT
ATx645/EON361,18GC,6.132,71,141.5
ATx645/R07178,18GC,6.412,71,147.3
ATx645/R08304,18GC,4.689,68,148.1
ATx645/RARCH11001,18GC,6.863,68,140.5
ATx645/RARCH11002,18GC,5.596,68,142.2
ATx645/RARCH11028,18GC,6.363,64,132.8
ATx645/RARCH11055,18GC,6.228,68,154.2
ATx645/RARCH11056,18GC,5.246,66,146.6
ATx645/RTx436,18GC,6.419,64,150.6
ATx645/RTx437,18GC,7.07,63,151.6
A05071/EON361,18COL,6.935,71,150.6
A05071/R07178,18COL,4.307,71,144.8
A05071/R08304,18COL,5.385,71,155.7
A05071/RARCH11001,18COL,7.637,69,138.9
A05071/RARCH11002,18COL,3.977,69,139.7
A05071/RARCH11028,18COL,5.492,67,133.9
A05071/RARCH11055,18COL,5.605,75,143
A05071/RARCH11056,18COL,5.624,73,143
A05071/RTx436,18COL,5.539,75,148.1
A05071/RTx437,18COL,5.157,71,148.1
A08140/EON361,18COL,6.58,71,134.6
A08140/R07178,18COL,6.337,71,133.9
A08140/R08304,18COL,5.718,67,137.2
A08140/RARCH11001,18COL,5.907,74,121.9
A08140/RARCH11002,18COL,6.276,67,124.5
A08140/RARCH11028,18COL,6.031,67,116.8
A08140/RARCH11055,18COL,5.755,73,137.9
A08140/RARCH11056,18COL,5.752,71,129.5
A08140/RTx436,18COL,3.765,69,134.6
A08140/RTx437,18COL,5.916,69,129.5
AARCH11051/EON361,18COL,4.49,78,128.8
AARCH11051/R07178,18COL,3.898,77,133.9
AARCH11051/R08304,18COL,5.139,71,140.5
AARCH11051/RARCH11001,18COL,5.432,75,124.5
AARCH11051/RARCH11002,18COL,4.616,75,125.2
AARCH11051/RARCH11028,18COL,4.79,69,114.3
AARCH11051/RARCH11055,18COL,4.495,78,140.5
AARCH11051/RARCH11056,18COL,4.973,77,132.8
AARCH11051/RTx436,18COL,4.15,77,133.9
AARCH11051/RTx437,18COL,5.912,69,136.4
AARCH11129/EON361,18COL,4.404,75,141.5
AARCH11129/R07178,18COL,4.491,75,146.6
AARCH11129/R08304,18COL,4.37,75,154.2
AARCH11129/RARCH11001,18COL,3.407,75,138.9
AARCH11129/RARCH11002,18COL,3.472,78,134.6
AARCH11129/RARCH11028,18COL,3.997,75,132.8
AARCH11129/RARCH11055,18COL,2.959,80,144
AARCH11129/RARCH11056,18COL,3.366,75,138.9
AARCH11129/RTx436,18COL,4.677,78,138.9
AARCH11129/RTx437,18COL,3.735,78,152.4
AARCH11136/EON361,18COL,6.577,75,140.5
AARCH11136/R07178,18COL,5.714,73,147.3
AARCH11136/R08304,18COL,4.599,71,148.1
AARCH11136/RARCH11001,18COL,5.344,67,132.8
AARCH11136/RARCH11002,18COL,4.52,73,137.9
AARCH11136/RARCH11028,18COL,4.886,67,134.6
AARCH11136/RARCH11055,18COL,4.2,78,154.9
AARCH11136/RARCH11056,18COL,3.76,75,150.6
AARCH11136/RTx436,18COL,3.853,75,146.6
AARCH11136/RTx437,18COL,5.771,69,149.9
AARCH11146/EON361,18COL,4.771,71,143
AARCH11146/R07178,18COL,5.338,73,150.6
AARCH11146/R08304,18COL,4.638,71,152.4
AARCH11146/RARCH11001,18COL,5.923,67,118.6
AARCH11146/RARCH11002,18COL,5.476,67,121.9
AARCH11146/RARCH11028,18COL,4.228,67,111
AARCH11146/RARCH11055,18COL,3.777,78,129.5
AARCH11146/RARCH11056,18COL,4.116,75,130.3
AARCH11146/RTx436,18COL,4.543,71,151.6
AARCH11146/RTx437,18COL,6.494,71,145.5
AHF14/EON361,18COL,6.269,73,133.9
AHF14/R07178,18COL,4.978,75,142.2
AHF14/R08304,18COL,5.846,73,139.7
AHF14/RARCH11001,18COL,6.83,71,126.2
AHF14/RARCH11002,18COL,6.196,71,132.8
AHF14/RARCH11028,18COL,6.797,69,126.2
AHF14/RARCH11055,18COL,5.013,78,136.4
AHF14/RARCH11056,18COL,4.836,78,128.8
AHF14/RTx436,18COL,6.281,75,133.9
AHF14/RTx437,18COL,6.569,71,133.9
AKS118/EON361,18COL,5.116,71,127
AKS118/R07178,18COL,5.132,71,125.2
AKS118/R08304,18COL,5.242,71,137.9
AKS118/RARCH11001,18COL,5.459,67,114.3
AKS118/RARCH11002,18COL,4.939,67,122.7
AKS118/RARCH11028,18COL,4.028,67,119.4
AKS118/RARCH11055,18COL,5.377,75,130.3
AKS118/RARCH11056,18COL,3.272,75,132.8
AKS118/RTx436,18COL,5.296,73,132.8
AKS118/RTx437,18COL,5.055,71,139.7
ATx3408/EON361,18COL,4.699,75,141.5
ATx3408/R07178,18COL,3.943,75,149.1
ATx3408/R08304,18COL,5.467,73,159.3
ATx3408/RARCH11001,18COL,5.826,69,134.6
ATx3408/RARCH11002,18COL,7.193,69,138.9
ATx3408/RARCH11028,18COL,4.788,67,128.8
ATx3408/RARCH11055,18COL,4.552,77,154.2
ATx3408/RARCH11056,18COL,3.895,73,143
ATx3408/RTx436,18COL,5.36,75,151.6
ATx3408/RTx437,18COL,4.712,73,151.6
ATx645/EON361,18COL,7.345,75,140.5
ATx645/R07178,18COL,5.705,75,139.7
ATx645/R08304,18COL,7.14,71,139.7
ATx645/RARCH11001,18COL,6.043,67,127
ATx645/RARCH11002,18COL,5.168,71,132.8
ATx645/RARCH11028,18COL,5.352,69,123.7
ATx645/RARCH11055,18COL,5.703,71,145.5
ATx645/RARCH11056,18COL,5.159,71,135.4
ATx645/RTx436,18COL,5.608,73,144
ATx645/RTx437,18COL,6.307,69,144
A05071/EON361,19TA,7.587,70,143.5
A05071/R07178,19TA,7.313,70,143.5
A05071/R08304,19TA,6.982,69,158.8
A05071/RARCH11001,19TA,6.136,68,130.8
A05071/RARCH11002,19TA,6.6,70,135.9
A05071/RARCH11028,19TA,5.43,68,132.1
A05071/RARCH11055,19TA,6.199,70,134.6
A05071/RARCH11056,19TA,5.937,70,132.1
A05071/RTx436,19TA,6.446,70,137.2
A05071/RTx437,19TA,6.302,67,144.8
A08140/EON361,19TA,7.145,70,139.7
A08140/R07178,19TA,7.589,70,138.4
A08140/R08304,19TA,8.076,69,148.6
A08140/RARCH11001,19TA,6.763,69,125.7
A08140/RARCH11002,19TA,7.168,69,137.2
A08140/RARCH11028,19TA,5.231,68,114.3
A08140/RARCH11055,19TA,6.662,70,121.9
A08140/RARCH11056,19TA,6.126,70,130.8
A08140/RTx436,19TA,7.358,70,137.2
A08140/RTx437,19TA,6.076,68,129.5
AARCH11051/EON361,19TA,6.511,70,138.4
AARCH11051/R07178,19TA,7.514,72,139.7
AARCH11051/R08304,19TA,8.508,70,156.2
AARCH11051/RARCH11001,19TA,7.373,70,139.7
AARCH11051/RARCH11002,19TA,7.15,70,135.9
AARCH11051/RARCH11028,19TA,5.515,69,127
AARCH11051/RARCH11055,19TA,6.238,72,128.3
AARCH11051/RARCH11056,19TA,6.816,70,139.7
AARCH11051/RTx436,19TA,6.825,69,146.1
AARCH11051/RTx437,19TA,6.482,68,147.3
AARCH11129/EON361,19TA,6.753,71,144.8
AARCH11129/R07178,19TA,6.616,73,149.9
AARCH11129/R08304,19TA,6.973,71,161.3
AARCH11129/RARCH11001,19TA,7.551,70,133.4
AARCH11129/RARCH11002,19TA,6.856,71,139.7
AARCH11129/RARCH11028,19TA,6.131,70,130.8
AARCH11129/RARCH11055,19TA,6.515,71,137.2
AARCH11129/RARCH11056,19TA,6.148,72,148.6
AARCH11129/RTx436,19TA,5.796,71,143.5
AARCH11129/RTx437,19TA,5.184,70,149.9
AARCH11136/EON361,19TA,6.876,70,133.4
AARCH11136/R07178,19TA,7.017,70,149.9
AARCH11136/R08304,19TA,7.645,69,154.9
AARCH11136/RARCH11001,19TA,6.574,69,134.6
AARCH11136/RARCH11002,19TA,6.793,69,147.3
AARCH11136/RARCH11028,19TA,4.885,66,134.6
AARCH11136/RARCH11055,19TA,6.177,71,142.2
AARCH11136/RARCH11056,19TA,5.986,70,154.9
AARCH11136/RTx436,19TA,6.448,70,139.7
